Priority,Type,Used On (# pages),Asset ID,Dimensions,Action,Image URL
Medium,Content Image (Sanity),2,befe6dcdf1aa4738f9b13e932f95647e00645896-1225x490.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/befe6dcdf1aa4738f9b13e932f95647e00645896-1225x490.jpg?w=1200&auto=format
Medium,Content Image (Sanity),2,ae258b85b9c1955cf518e7585e3805fd6db658b4-400x400.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/ae258b85b9c1955cf518e7585e3805fd6db658b4-400x400.jpg?w=1200&auto=format
Medium,Content Image (Sanity),2,8d445417805fa19e954bf7e27304f6cc130cfb8d-1080x720.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/8d445417805fa19e954bf7e27304f6cc130cfb8d-1080x720.jpg?w=1200&auto=format
Medium,GIF/Animated,1,664eb67f67d7791512fb6183efd69fe2ec73a261-800x500.gif,,Add alt text,https://cdn.sanity.io/images/ypmt1bmc/production/664eb67f67d7791512fb6183efd69fe2ec73a261-800x500.gif?w=1200&auto=format
Low,SVG Image,96,f1d87e8045dfce5f265143b6d8bb0d215cd9b629-27x19.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/f1d87e8045dfce5f265143b6d8bb0d215cd9b629-27x19.svg
Low,Decorative Icon (SVG),80,a77155d7e580aa55cae4ae33fc31f7e9b2c34167-26x26.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/a77155d7e580aa55cae4ae33fc31f7e9b2c34167-26x26.svg
Low,Decorative Icon (SVG),48,15c43f790844dcd65e290f214bf92a74ab2722f5-26x26.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/15c43f790844dcd65e290f214bf92a74ab2722f5-26x26.svg
Low,Decorative Icon (SVG),48,e0c583f2291b3c0f2d9910caaea5f1099cf4e220-26x26.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/e0c583f2291b3c0f2d9910caaea5f1099cf4e220-26x26.svg
Low,Decorative Icon (SVG),48,d9eee300b50c3cf0f7f8f417a13b8dc9145344df-26x26.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/d9eee300b50c3cf0f7f8f417a13b8dc9145344df-26x26.svg
Low,Decorative Icon (SVG),48,52b8e714d7b1d1cb41368a146514824b9c8a4290-26x26.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/52b8e714d7b1d1cb41368a146514824b9c8a4290-26x26.svg
Low,SVG Image,48,f0e7fc927645bb442aa98a15d385dc059fef9306-30x20.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/f0e7fc927645bb442aa98a15d385dc059fef9306-30x20.svg
Low,Decorative Icon (SVG),48,ae20c2003b8eacd86495bae08118e34d661d6f05-24x24.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/ae20c2003b8eacd86495bae08118e34d661d6f05-24x24.svg
Low,Decorative Icon (SVG),48,015d33d9867a511767bd00ff49352777c13b5b78-26x26.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/015d33d9867a511767bd00ff49352777c13b5b78-26x26.svg
Low,Decorative Icon (SVG),48,ae5861edeb226daaac288b906c9bfa3c77606337-26x26.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/ae5861edeb226daaac288b906c9bfa3c77606337-26x26.svg
Low,SVG Image,48,0524a88e9d5a3d18825b3ff084faab631cc572f1-24x23.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/0524a88e9d5a3d18825b3ff084faab631cc572f1-24x23.svg
Low,Decorative Icon (SVG),48,27a483d9c8871f5b8a45859b433bf83c6f356e0f-26x26.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/27a483d9c8871f5b8a45859b433bf83c6f356e0f-26x26.svg
Low,Decorative Icon (SVG),48,949b60c93d7de59a0b25834800b5c88a9ece3542-26x26.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/949b60c93d7de59a0b25834800b5c88a9ece3542-26x26.svg
Low,Decorative Icon (SVG),48,f1fb3a0f0c94c99218b62102ca3a5031ea837375-26x26.svg,,OK (decorative),https://cdn.sanity.io/images/ypmt1bmc/production/f1fb3a0f0c94c99218b62102ca3a5031ea837375-26x26.svg
Low,Content Image (Sanity),1,34a488b77d65391f1a0c677710ee44b53e81ae0c-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/34a488b77d65391f1a0c677710ee44b53e81ae0c-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,65e208be388a038d0fc04cc2c60eaeec197b3baf-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/65e208be388a038d0fc04cc2c60eaeec197b3baf-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,545e40218fbe452f8f7aecdf7f86a3277c9eda27-1920x1080.webp,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/545e40218fbe452f8f7aecdf7f86a3277c9eda27-1920x1080.webp?w=1200&auto=format
Low,Content Image (Sanity),1,d91f6920f9e698ee288f52209ef3f4ada7db869b-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/d91f6920f9e698ee288f52209ef3f4ada7db869b-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,f278e3aec68c75a18bc634c12c31172c36a2e596-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/f278e3aec68c75a18bc634c12c31172c36a2e596-1920x1080.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,93727259a0e4b7aa892865d217cc641375e77ef4-1920x1280.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/93727259a0e4b7aa892865d217cc641375e77ef4-1920x1280.jpg?w=1200&auto=format
Low,Content Image (Sanity),1,05cbc941c8a8de9d1817edf02837973e2c1ac9e6-1920x1080.jpg,,Add alt text in Sanity,https://cdn.sanity.io/images/ypmt1bmc/production/05cbc941c8a8de9d1817edf02837973e2c1ac9e6-1920x1080.jpg?w=1200&auto=format
