slug,title,issue,link_text,href,normalized_href,link_type
7-of-the-weirdest-waves-around-the-world-and-where-to-find-them,7 Weirdest Waves To Surf around the Globe – Where are they?,MISSING_IN_SANITY,African Budget Safaris,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.africanbudgetsafaris.com%2F%3Ffbclid%3DIwAR3l5b1cRvKeJ4_TsmAPH4QkxvXSBjaWdmlWLreebhM0njrqtLyFjgWMSyU&h=AT0fAHnE34_MwDT208-KkqUjcVoYvizY_7sJyykIyiKi98RZcG2OAjizYjvO-n-tgmSQA_KR8L5SSKmk9SrzZHxMqKJL-LiLJfTlSHO28s5fMYTNZNvfqF_jwzXhtpy7pzCDyodiU6vNXCF3Y1YDmuPCwwg,https://l.facebook.com/l.php,external
7-of-the-weirdest-waves-around-the-world-and-where-to-find-them,7 Weirdest Waves To Surf around the Globe – Where are they?,EXTRA_IN_SANITY,playful ocean waves,/surfcamp/portugal/ericeira-lizandro,/surfcamp/portugal/ericeira-lizandro,internal
7-ways-to-stay-in-shape-when-youre-not-surfing,7 Ways To Stay Fit When You’re Not Surfing,MISSING_IN_SANITY,learning to surf,https://www.rapturecamps.com/should-i-book-a-surf-camp-or-a-surf-school/,/should-i-book-a-surf-camp-or-a-surf-school,internal
7-ways-to-stay-in-shape-when-youre-not-surfing,7 Ways To Stay Fit When You’re Not Surfing,EXTRA_IN_SANITY,learning to surf,/blog/should-i-book-a-surf-camp-or-a-surf-school,/blog/should-i-book-a-surf-camp-or-a-surf-school,internal
9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,9 Expert Tips for a Memorable Surf Trip in Costa Rica,MISSING_IN_SANITY,flexible pricing options,https://www.rapturecamps.com/costa-rica-surfcamp/,/costa-rica-surfcamp,internal
9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,9 Expert Tips for a Memorable Surf Trip in Costa Rica,MISSING_IN_SANITY,perfect surf trip to Costa Rica,https://www.rapturecamps.com/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now/,/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now,internal
9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,9 Expert Tips for a Memorable Surf Trip in Costa Rica,MISSING_IN_SANITY,surf trip essentials,https://www.rapturecamps.com/blog/planning-a-surf-trip-to-the-tropics-here-are-10-essentials-you-shouldnt-leave-home-without/,/blog/planning-a-surf-trip-to-the-tropics-here-are-10-essentials-you-shouldnt-leave-home-without,internal
9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,9 Expert Tips for a Memorable Surf Trip in Costa Rica,MISSING_IN_SANITY,our camp,https://www.rapturecamps.com/costa-rica-surfcamp/,/costa-rica-surfcamp,internal
9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,9 Expert Tips for a Memorable Surf Trip in Costa Rica,MISSING_IN_SANITY,stunning Central American country,https://www.rapturecamps.com/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now/,/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now,internal
9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,9 Expert Tips for a Memorable Surf Trip in Costa Rica,EXTRA_IN_SANITY,flexible pricing options,/surfcamp/costa-rica,/surfcamp/costa-rica,internal
9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,9 Expert Tips for a Memorable Surf Trip in Costa Rica,EXTRA_IN_SANITY,perfect surf trip to Costa Rica,/blog/9-reasons-to-learn-to-surf-in-costa-rica,/blog/9-reasons-to-learn-to-surf-in-costa-rica,internal
9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,9 Expert Tips for a Memorable Surf Trip in Costa Rica,EXTRA_IN_SANITY,surf trip essentials,/blog/planning-a-surf-trip-to-the-tropics-10-essentials-you-shouldnt-forget,/blog/planning-a-surf-trip-to-the-tropics-10-essentials-you-shouldnt-forget,internal
9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,9 Expert Tips for a Memorable Surf Trip in Costa Rica,EXTRA_IN_SANITY,our camp,/surfcamp/costa-rica,/surfcamp/costa-rica,internal
9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica,9 Expert Tips for a Memorable Surf Trip in Costa Rica,EXTRA_IN_SANITY,stunning Central American country,/blog/9-reasons-to-learn-to-surf-in-costa-rica,/blog/9-reasons-to-learn-to-surf-in-costa-rica,internal
awayco-light-gearless-travelling,Premium Surf Rental now in Bali,MISSING_IN_SANITY,FIND YOUR GEAR,https://awayco.com/products,https://awayco.com/products,external
bali-for-digital-nomads,Why Bali Is The Perfect Destination For Digital Nomads,MISSING_IN_SANITY,Canggu,https://www.rapturecamps.com/surfcamp/bali/canggu/?campaignid=21528416633&adgroupid=&creative=&keyword=&matchtype=&device=c&utm_term=&utm_campaign=MaxPer+-+ACQ+-++CR+-+MaxC+-+WW+-+EN&utm_source=adwords&utm_medium=ppc&hsa_acc=9953689683&hsa_cam=21528416633&hsa_grp=&hsa_ad=&hsa_src=x&hsa_tgt=&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=Cj0KCQjw05i4BhDiARIsAB_2wfCB-zOddKuuY5EjUcXmV5oDjkOGmVX_4mrwUri8AxvuzDHgxlyj85waAo7KEALw_wcB,/surfcamp/bali/canggu,internal
bali-nyepi-the-islands-day-of-silence,Bali Nyepi: The Island’s Day Of Silence,MISSING_IN_SANITY,philyusenda,https://www.flickr.com/photos/yusenda1/,https://www.flickr.com/photos/yusenda1,external
bali-weather-a-month-by-month,Bali Weather: A Month-by-Month Guide For Surfers,MISSING_IN_SANITY,Weather and Climate,https://weatherandclimate.com/indonesia/bali,https://weatherandclimate.com/indonesia/bali,external
beach-hotels-in-costa-rica,Choosing the Perfect Surf Retreat: What to Look for in Beach Hotels in Costa Rica,MISSING_IN_SANITY,traditional Costa Rican dishes,https://www.rapturecamps.com/surfcamp/costa-rica/avellanas/food/,/surfcamp/costa-rica/avellanas/food,internal
beach-hotels-in-costa-rica,Choosing the Perfect Surf Retreat: What to Look for in Beach Hotels in Costa Rica,EXTRA_IN_SANITY,traditional Costa Rican dishes,/surfcamp/costa-rica/avellanas,/surfcamp/costa-rica/avellanas,internal
beach-signs-and-flags,Safety First: A Surfer’s Guide to Navigating Beach Signs and Flags,MISSING_IN_SANITY,Jason Crellin,https://www.flickr.com/photos/jasoncrellin/,https://www.flickr.com/photos/jasoncrellin,external
best-beginner-surf-spots-in-bali,The 7 Spots for Surfing in Bali for Beginners,MISSING_IN_SANITY,learn to surf,https://rapturecamps.com/blog/surf-tips-beginners-learn-to-surf,/blog/surf-tips-beginners-learn-to-surf,internal
best-beginner-surf-spots-in-bali,The 7 Spots for Surfing in Bali for Beginners,EXTRA_IN_SANITY,learn to surf,/blog/surf-tips-beginners,/blog/surf-tips-beginners,internal
best-eats-in-tamarindo,Savoring Tamarindo: A Surfers Guide To The Best Eats,MISSING_IN_SANITY,Seasons,https://www.seasonstamarindo.net/,https://www.seasonstamarindo.net,external
best-hangouts-in-tamarindo,"Sip, Surf, and Socialise: Best Hangouts in Tamarindo",MISSING_IN_SANITY,Lola’s,https://www.tripadvisor.com/Restaurant_Review-g1075571-d1542328-Reviews-Lola_s-Playa_Avellanas_Tamarindo_Province_of_Guanacaste.html,https://www.tripadvisor.com/restaurant_review-g1075571-d1542328-reviews-lola_s-playa_avellanas_tamarindo_province_of_guanacaste.html,external
best-places-to-eat-near-green-bowl,Local Flavours and Thrills: A Guide to the Area Around Green Bowl Surf Camp,MISSING_IN_SANITY,Mike Haller,https://www.flickr.com/photos/mhaller1979/,https://www.flickr.com/photos/mhaller1979,external
best-surf-bikinis,"Best Surf Bikinis: Comfort, Style, And Performance",MISSING_IN_SANITY,best surfing brands around,https://www.rapturecamps.com/blog/the-best-surf-clothing-brands-in-2024/,/blog/the-best-surf-clothing-brands-in-2024,internal
best-surf-bikinis,"Best Surf Bikinis: Comfort, Style, And Performance",EXTRA_IN_SANITY,best surfing brands around,/blog/the-best-surf-clothing-brands-in-2025,/blog/the-best-surf-clothing-brands-in-2025,internal
best-surfers-in-the-world,Who Are The Best Surfers In The World In 2025?,MISSING_IN_SANITY,Gadjo Niglo,https://www.flickr.com/photos/gadjodilo974/,https://www.flickr.com/photos/gadjodilo974,external
best-surfers-in-the-world,Who Are The Best Surfers In The World In 2025?,MISSING_IN_SANITY,Red Bull,https://www.redbull.com/,https://www.redbull.com,external
